,practice,bnf_code,bnf_name,items,nic,act_cost,quantity,month,year
1,2884,8687,1263,1,9.83,9.33,780,5,2016
3,2628,8687,1263,24,203.76,191.66,15890,5,2016
4,3356,8687,1263,15,136.72,128.48,9439,5,2016
5,6054,8687,1263,9,45.45,43.33,3594,5,2016
6,427,8687,1263,21,119.07,113.69,9451,5,2016
8,5475,8687,1263,18,142.97,134.78,10864,5,2016
9,6258,8687,1263,2,54.18,50.16,4300,5,2016
10,2058,8687,1263,10,92.58,87.33,7348,5,2016
11,8590,8687,1263,2,10.58,10.09,840,5,2016
12,9388,8687,1263,5,21.87,20.86,1736,5,2016
13,8792,8687,1263,2,17.3,16.23,1080,5,2016
14,9149,8687,1263,4,42.32,39.61,3360,5,2016
15,8395,8687,1263,2,4.94,4.8,392,5,2016
16,4055,8687,1263,1,15.88,14.82,1260,5,2016
18,1908,8687,1263,1,1.25,1.32,60,5,2016
19,9247,8687,1263,1,1.51,1.55,120,5,2016
20,3961,8687,1263,2,10.81,10.27,630,5,2016
21,9487,8687,1263,2,14.12,13.32,1120,5,2016
22,4607,8687,1263,9,72.58,68.39,5648,5,2016
23,1828,8687,1263,1,8.82,8.18,700,5,2016
24,3113,8687,1263,3,13.23,12.28,1050,5,2016
25,9657,8687,1263,2,10.08,9.35,800,5,2016
26,8253,8687,1263,2,37.8,35.01,3000,5,2016
27,6924,8687,1263,4,17.64,16.38,1400,5,2016
28,5399,8687,1263,8,22.92,22.11,1820,5,2016
29,6064,8687,1263,1,3.7,3.57,294,5,2016
30,1818,8687,1263,1,3.15,2.93,250,5,2016
31,2229,8687,1263,14,78.02,74.37,6192,5,2016
32,6589,8687,1263,11,73.56,69.65,5839,5,2016
33,373,8687,1263,24,135.39,129.41,10638,5,2016
34,9630,8687,1263,5,23.76,22.93,1885,5,2016
35,2836,8687,1263,3,18.9,17.53,1500,5,2016
36,10314,8687,1263,1,18.9,17.5,1500,5,2016
49,7888,8687,1263,1,31.5,29.17,2500,5,2016
50,7462,8687,1263,10,61.7,58.23,4900,5,2016
51,4714,8687,1263,4,14.12,13.52,1120,5,2016
53,2709,8687,1263,3,26.45,24.84,2100,5,2016
54,2782,8687,1263,2,8.85,8.49,702,5,2016
55,6687,8687,1263,4,12.88,12.45,1022,5,2016
56,8412,8687,1263,1,14.11,13.17,1120,5,2016
57,9489,8687,1263,1,16.38,15.17,1500,5,2016
59,9478,8687,1263,18,128.28,121.28,10180,5,2016
60,5109,8687,1263,21,185.03,173.99,13545,5,2016
61,2940,8687,1263,18,149.15,140.97,10918,5,2016
62,2062,8687,1263,20,98.9,94.73,7850,5,2016
63,4226,8687,1263,8,75.96,71.65,6030,5,2016
64,9523,8687,1263,9,79.52,74.91,5140,5,2016
65,7474,8687,1263,9,85.11,80.13,5128,5,2016
66,6669,8687,1263,7,38.06,35.97,3020,5,2016
67,9771,8687,1263,7,64.41,60.16,4200,5,2016
68,9705,8687,1263,12,137.6,128.65,10920,5,2016
69,8107,8687,1263,6,59.98,56.26,4760,5,2016
70,6559,8687,1263,13,124.72,116.91,8988,5,2016
71,3175,8687,1263,18,167.91,157.73,13328,5,2016
72,3663,8687,1263,8,54.31,51.27,4312,5,2016
73,9295,8687,1263,11,56.26,53.54,4440,5,2016
74,3682,8687,1263,8,80.42,75.22,6384,5,2016
75,4689,8687,1263,13,127.58,119.19,10126,5,2016
76,2665,8687,1263,10,96.18,89.92,5810,5,2016
77,6629,8687,1263,9,91.94,86.16,7644,5,2016
78,1283,8687,1263,6,44.78,41.99,3554,5,2016
79,520,8687,1263,9,33.67,32.21,2280,5,2016
80,2863,8687,1263,7,82.67,77.32,6560,5,2016
81,9024,8687,1263,2,2.52,2.59,154,5,2016
82,6062,8687,1263,2,7.06,6.78,560,5,2016
83,6124,8687,1263,6,43.38,40.9,3444,5,2016
84,5830,8687,1263,9,132.29,123.16,10500,5,2016
85,9744,8687,1263,2,22.75,21.33,1350,5,2016
86,7178,8687,1263,4,31.04,29.03,2464,5,2016
87,6947,8687,1263,7,43.28,41.11,3435,5,2016
88,2321,8687,1263,13,101.38,96.0,8045,5,2016
89,2111,8687,1263,2,3.52,3.51,280,5,2016
90,2313,8687,1263,2,14.12,13.32,1120,5,2016
91,6771,8687,1263,2,16.98,15.96,990,5,2016
93,2519,8687,1263,13,123.26,115.89,9098,5,2016
94,3530,8687,1263,6,71.51,67.53,5675,5,2016
95,8556,8687,1263,24,159.68,151.31,12218,5,2016
96,3957,8687,1263,1,8.82,8.18,700,5,2016
97,9237,8687,1263,2,24.2,22.78,1920,5,2016
98,1497,8687,1263,5,13.25,12.82,1050,5,2016
100,2528,8687,1263,31,175.64,168.23,13027,5,2016
101,1920,8687,1263,36,281.55,266.74,21830,5,2016
102,8035,8687,1263,29,241.04,227.79,16429,5,2016
103,10201,8687,1263,15,83.37,79.51,6617,5,2016
104,2269,8687,1263,5,17.9,17.31,1421,5,2016
105,6383,8687,1263,23,135.64,130.05,10765,5,2016
107,4347,8687,1263,4,55.74,52.24,4424,5,2016
108,7446,8687,1263,7,21.54,20.62,1672,5,2016
109,5117,8687,1263,28,143.41,137.66,11382,5,2016
110,3977,8687,1263,34,252.64,238.93,17153,5,2016
111,4586,8687,1263,1,1.32,1.33,105,5,2016
112,7771,8687,1263,22,153.89,145.83,11304,5,2016
113,9286,8687,1263,3,8.85,8.55,702,5,2016
114,8114,8687,1263,15,170.52,159.59,12850,5,2016
115,5806,8687,1263,33,278.54,263.45,20146,5,2016
116,1243,8687,1263,2,17.64,16.48,1400,5,2016
117,9682,8687,1263,4,52.92,49.03,4200,5,2016
118,5878,8687,1263,2,15.12,14.23,1200,5,2016
119,9358,8687,1263,5,56.45,52.78,4024,5,2016
120,2974,8687,1263,1,21.84,20.39,1050,5,2016
121,10599,8687,1263,5,14.41,14.04,1143,5,2016
122,9159,8687,1263,3,16.44,15.86,1110,5,2016
123,9258,8687,1263,1,8.19,7.7,650,5,2016
124,9432,8687,1263,4,30.16,28.46,2394,5,2016
125,8520,8687,1263,2,15.88,14.92,1260,5,2016
126,2556,8687,1263,3,42.33,39.9,3360,5,2016
